date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:42:23	72011/72011	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Mar%202022%2013:34:42%20GMT	https://rainbowit.net/html/doob/index-business-consulting.html	D:/Documents/projetoTeste/projetoTeste/rainbowit.net/html/doob/index-business-consulting.html	(from )
09:42:25	1076/1076	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Aug%202022%2012:42:25%20GMT	https://rainbowit.net/robots.txt		(from )
09:42:26	10053/10053	---M--	200	added ('OK')	image/png	date:Sun,%2005%20Sep%202021%2016:23:12%20GMT	https://rainbowit.net/html/doob/assets/images/favicon.png	D:/Documents/projetoTeste/projetoTeste/rainbowit.net/html/doob/assets/images/favicon.png	(from https://rainbowit.net/html/doob/index-business-consulting.html)
09:42:28	74357/74357	---M-Z	200	added ('OK')	text/css	date:Thu,%2024%20Feb%202022%2014:06:52%20GMT	https://rainbowit.net/html/doob/assets/css/plugins/animation.css	D:/Documents/projetoTeste/projetoTeste/rainbowit.net/html/doob/assets/css/plugins/animation.css	(from https://rainbowit.net/html/doob/index-business-consulting.html)
09:42:28	209710/209710	---M-Z	200	added ('OK')	text/css	date:Thu,%2024%20Feb%202022%2014:06:52%20GMT	https://rainbowit.net/html/doob/assets/css/vendor/bootstrap.min.css	D:/Documents/projetoTeste/projetoTeste/rainbowit.net/html/doob/assets/css/vendor/bootstrap.min.css	(from https://rainbowit.net/html/doob/index-business-consulting.html)
09:42:28	5783/5783	---M-Z	200	added ('OK')	text/css	date:Thu,%2024%20Feb%202022%2005:34:50%20GMT	https://rainbowit.net/html/doob/assets/css/plugins/magnify.min.css	D:/Documents/projetoTeste/projetoTeste/rainbowit.net/html/doob/assets/css/plugins/magnify.min.css	(from https://rainbowit.net/html/doob/index-business-consulting.html)
09:42:28	14219/14219	---M-Z	200	added ('OK')	text/css	date:Thu,%2024%20Feb%202022%2014:06:54%20GMT	https://rainbowit.net/html/doob/assets/css/plugins/feature.css	D:/Documents/projetoTeste/projetoTeste/rainbowit.net/html/doob/assets/css/plugins/feature.css	(from https://rainbowit.net/html/doob/index-business-consulting.html)
09:42:28	1293/1293	---M-Z	200	added ('OK')	text/css	date:Thu,%2024%20Feb%202022%2005:34:52%20GMT	https://rainbowit.net/html/doob/assets/css/plugins/slick.css	D:/Documents/projetoTeste/projetoTeste/rainbowit.net/html/doob/assets/css/plugins/slick.css	(from https://rainbowit.net/html/doob/index-business-consulting.html)
09:42:29	2421/2421	---M-Z	200	added ('OK')	text/css	date:Thu,%2024%20Feb%202022%2005:34:52%20GMT	https://rainbowit.net/html/doob/assets/css/plugins/slick-theme.css	D:/Documents/projetoTeste/projetoTeste/rainbowit.net/html/doob/assets/css/plugins/slick-theme.css	(from https://rainbowit.net/html/doob/index-business-consulting.html)
09:42:29	27344/27344	---M-Z	200	added ('OK')	text/css	date:Thu,%2024%20Feb%202022%2014:06:52%20GMT	https://rainbowit.net/html/doob/assets/css/plugins/lightbox.css	D:/Documents/projetoTeste/projetoTeste/rainbowit.net/html/doob/assets/css/plugins/lightbox.css	(from https://rainbowit.net/html/doob/index-business-consulting.html)
